title,orignal_price,Current_price,Shipping
Yamaha NS-F51 Floorstanding Speakers,"3,900.00","3,772.00",FREE Shipping
"Bluetooth Speaker with Smart Touch LED Mood Lamp, Portable Romantic Lighting Bluetooth Speaker, Music Player / Hands-free Bluetooth Speakerphone, TF card / AUX supported",73.00,52.97,FREE Shipping
"First F-95 Bluetooth Subwoofer, 80 Watt - Green","1,777.00","1,499.00",FREE Shipping
Apple HomePod mini - White,"4,999.00","2,899.00",FREE Shipping
HP Gaming Speakers X1000 - 8PB07AA - Black,"2,352.00","1,932.00",FREE Shipping
JBL Quantum Duo PC Gaming Speaker - Black,"5,180.00","4,500.00",FREE Shipping
TTEC 2BH04K Active Mini Portable Bluetooth Speaker - Red,350.00,224.72,FREE Shipping
Speedlink 8001-BE Snappy Stereo Speakers - Blue,165.00,75.00,FREE Shipping
Speaker LAVA ST-65,196.00,161.00,FREE Shipping
"Anker D3000211 Nebula Soundbar, Fire TV Edition, 4K HDR Support - Gray","6,500.00","3,825.00",FREE Shipping
Speedlink 810004-BK Twoxo Stereo Speakers - Black,153.00,125.50,FREE Shipping
Moxom MX-SK09 Wireless Bluetooth Speakers - Grey,266.00,218.50,FREE Shipping
Moxom MX-SK11 Wireless Bluetooth Speakers - Black,238.00,195.50,FREE Shipping
Moxom MX-SK06 Wireless Bluetooth Speakers - Black,308.00,253.00,FREE Shipping
Moxom MX-SK12 Wireless Bluetooth Speakers - Black,336.00,276.00,FREE Shipping
Moxom MX-SK05 Wireless Bluetooth Speakers - Black,308.00,253.00,FREE Shipping
Yamaha STAGEPAS 600BT Portable PA System with Bluetooth,"23,520.00","19,320.00",FREE Shipping
Creative MUVO 2 - Portable Water-resistant Bluetooth Speaker with Built-in MP3 Player - Grey,"1,865.00","1,490.74",FREE Shipping
YAMAHA SR-B20A Sound Bar with Built-in Subwoofers and Bluetooth,"4,032.00","3,312.00",FREE Shipping
EWA A101C Wireless Bluetooth Stereo - Multi Color,294.00,241.50,FREE Shipping
"Kisonli S-999 Wired Computer Speaker, 2 Pieces - Blue",106.00,87.50,FREE Shipping
"Monster Boomerang Neckband Bluetooth Speaker, Lightweight Wireless Wearable Speaker with 12H Playtime, True 3D Stereo Sound, Portable and IPX7 Waterproof, Ideal for Home&Outdoors",,"2,185.00",FREE Shipping
Knit Timpani Wireless SpeaKer - Multi Color,840.00,675.00,FREE Shipping
Tronsmart Force Bluetooth Speaker Bluetooth 5.0 Portable Speaker IPX7 Waterproof 40W Speakers 15H Playtime with Voice Assistant with Free Case,"1,076.00",884.00,FREE Shipping
